date,close,pe_ttm,pb,total_mv,float_mv,total_share,float_share,is_st
2020-01-02,4.99,-160.096099,2.201512,21354344707.03,21354344707.03,4279427797,4279427797,False
2020-01-03,5.11,-163.946105,2.254454,21867876042.67,21867876042.67,4279427797,4279427797,False
2020-01-06,5.16,-165.550275,2.276514,22081847432.52,22081847432.52,4279427797,4279427797,False
2020-01-07,5.15,-165.229441,2.272102,22039053154.55,22039053154.55,4279427797,4279427797,False
2020-01-08,5.01,-160.737767,2.210336,21439933262.97,21439933262.97,4279427797,4279427797,False
2020-01-09,5.04,-161.700268,2.223571,21568316096.88,21568316096.88,4279427797,4279427797,False
2020-01-10,5.1,-163.625271,2.250042,21825081764.7,21825081764.7,4279427797,4279427797,False
2020-01-13,5.06,-162.341936,2.232395,21653904652.82,21653904652.82,4279427797,4279427797,False
2020-01-14,5.05,-162.021102,2.227983,21611110374.85,21611110374.85,4279427797,4279427797,False
2020-01-15,5.03,-161.379434,2.219159,21525521818.91,21525521818.91,4279427797,4279427797,False
2020-01-16,5.01,-160.737767,2.210336,21439933262.97,21439933262.97,4279427797,4279427797,False
2020-01-17,4.99,-160.096099,2.201512,21354344707.03,21354344707.03,4279427797,4279427797,False
2020-01-20,5.14,-164.908607,2.26769,21996258876.58,21996258876.58,4279427797,4279427797,False
2020-01-21,5.13,-164.587773,2.263278,21953464598.61,21953464598.61,4279427797,4279427797,False
2020-01-22,5.0,-160.416933,2.205924,21397138985.0,21397138985.0,4279427797,4279427797,False
2020-01-23,4.78,-153.358588,2.108863,20455664869.66,20455664869.66,4279427797,4279427797,False
2020-02-03,4.3,-137.958562,1.897095,18401539527.1,18401539527.1,4279427797,4279427797,False
2020-02-04,4.08,-130.900217,1.800034,17460065411.76,17460065411.76,4279427797,4279427797,False
2020-02-05,4.15,-133.146054,1.830917,17759625357.55,17759625357.55,4279427797,4279427797,False
2020-02-06,4.21,-135.071057,1.857388,18016391025.37,18016391025.37,4279427797,4279427797,False
2020-02-07,4.15,-133.146054,1.830917,17759625357.55,17759625357.55,4279427797,4279427797,False
2020-02-10,4.46,-143.091904,1.967684,19086247974.62,19086247974.62,4279427797,4279427797,False
2020-02-11,4.34,-139.241898,1.914742,18572716638.98,18572716638.98,4279427797,4279427797,False
2020-02-12,4.36,-139.883565,1.923566,18658305194.92,18658305194.92,4279427797,4279427797,False
2020-02-13,4.29,-137.637728,1.892683,18358745249.13,18358745249.13,4279427797,4279427797,False
2020-02-14,4.26,-136.675227,1.879447,18230362415.22,18230362415.22,4279427797,4279427797,False
2020-02-17,4.41,-141.487735,1.945625,18872276584.77,18872276584.77,4279427797,4279427797,False
2020-02-18,4.43,-142.129402,1.954449,18957865140.71,18957865140.71,4279427797,4279427797,False
2020-02-19,4.42,-141.808569,1.950037,18915070862.74,18915070862.74,4279427797,4279427797,False
2020-02-20,4.6,-147.583578,2.02945,19685367866.2,19685367866.2,4279427797,4279427797,False
2020-02-21,4.6,-147.583578,2.02945,19685367866.2,19685367866.2,4279427797,4279427797,False
2020-02-24,4.64,-148.866914,2.047097,19856544978.08,19856544978.08,4279427797,4279427797,False
2020-02-25,4.56,-146.300243,2.011803,19514190754.32,19514190754.32,4279427797,4279427797,False
2020-02-26,4.52,-145.016907,1.994155,19343013642.44,19343013642.44,4279427797,4279427797,False
2020-02-27,4.47,-143.412738,1.972096,19129042252.59,19129042252.59,4279427797,4279427797,False
2020-02-28,4.19,-134.42939,1.848564,17930802469.43,17930802469.43,4279427797,4279427797,False
2020-03-02,4.3,-137.958562,1.897095,18401539527.1,18401539527.1,4279427797,4279427797,False
2020-03-03,4.32,-138.60023,1.905918,18487128083.04,18487128083.04,4279427797,4279427797,False
2020-03-04,4.35,-139.562731,1.919154,18615510916.95,18615510916.95,4279427797,4279427797,False
2020-03-05,4.46,-143.091904,1.967684,19086247974.62,19086247974.62,4279427797,4279427797,False
2020-03-06,4.46,-143.091904,1.967684,19086247974.62,19086247974.62,4279427797,4279427797,False
2020-03-09,4.45,-142.77107,1.963272,19043453696.65,19043453696.65,4279427797,4279427797,False
2020-03-10,4.55,-145.979409,2.007391,19471396476.35,19471396476.35,4279427797,4279427797,False
2020-03-11,5.01,-160.737767,2.210336,21439933262.97,21439933262.97,4279427797,4279427797,False
2020-03-12,4.76,-152.71692,2.10004,20370076313.72,20370076313.72,4279427797,4279427797,False
2020-03-13,5.24,-168.116945,2.311808,22424201656.28,22424201656.28,4279427797,4279427797,False
2020-03-16,5.18,-166.191942,2.285337,22167435988.46,22167435988.46,4279427797,4279427797,False
2020-03-17,5.1,-163.625271,2.250042,21825081764.7,21825081764.7,4279427797,4279427797,False
2020-03-18,4.69,-150.471083,2.069157,20070516367.93,20070516367.93,4279427797,4279427797,False
2020-03-19,4.65,-149.187747,2.051509,19899339256.05,19899339256.05,4279427797,4279427797,False
2020-03-20,4.85,-155.604425,2.139746,20755224815.45,20755224815.45,4279427797,4279427797,False
2020-03-23,4.93,-158.171096,2.175041,21097579039.21,21097579039.21,4279427797,4279427797,False
2020-03-24,4.89,-156.88776,2.157394,20926401927.33,20926401927.33,4279427797,4279427797,False
2020-03-25,5.04,-161.700268,2.223571,21568316096.88,21568316096.88,4279427797,4279427797,False
2020-03-26,5.37,-172.287786,2.369162,22980527269.89,22980527269.89,4279427797,4279427797,False
2020-03-27,5.2,-166.83361,2.294161,22253024544.4,22253024544.4,4279427797,4279427797,False
2020-03-30,5.08,-162.983604,2.241219,21739493208.76,21739493208.76,4279427797,4279427797,False
2020-03-31,5.34,-171.325284,2.355927,22852144435.98,22852144435.98,4279427797,4279427797,False
2020-04-01,5.33,-171.00445,2.351515,22809350158.01,22809350158.01,4279427797,4279427797,False
2020-04-02,5.42,-173.891955,2.391222,23194498659.74,23194498659.74,4279427797,4279427797,False
2020-04-03,5.59,-179.346131,2.466223,23922001385.23,23922001385.23,4279427797,4279427797,False
2020-04-07,5.65,-181.271134,2.492694,24178767053.05,24178767053.05,4279427797,4279427797,False
2020-04-08,5.42,-173.891955,2.391222,23194498659.74,23194498659.74,4279427797,4279427797,False
2020-04-09,5.37,-172.287786,2.369162,22980527269.89,22980527269.89,4279427797,4279427797,False
