date,close,pe_ttm,pb,total_mv,float_mv,total_share,float_share,is_st
2020-01-02,5.37,43.99017,1.595357,7399826075.068,6848881030.385,1427674938,1321379138,False
2020-01-03,5.47,44.809354,1.625066,7537625443.319,6976420714.377,1427674938,1321379138,False
2020-01-06,5.52,45.218946,1.63992,7606525127.445,7040190556.373,1427674938,1321379138,False
2020-01-07,5.5,45.055109,1.633979,7578965253.794,7014682619.575,1427674938,1321379138,False
2020-01-08,5.38,44.072089,1.598328,7438322619.965,6861634998.784,1432434738,1321379138,False
2020-01-09,5.43,44.62998,1.618561,7507452012.343,6925404840.78,1432434738,1321379138,False
2020-01-10,5.58,45.862853,1.663272,7714840189.48,7116714366.768,1432434738,1321379138,False
2020-01-13,5.61,46.109427,1.672215,7756317824.907,7154976271.966,1432434738,1321379138,False
2020-01-14,5.63,46.27381,1.678176,7783969581.859,7180484208.765,1432434738,1321379138,False
2020-01-15,5.51,45.287512,1.642407,7618059040.15,7027436587.974,1432434738,1321379138,False
2020-01-16,5.61,46.109427,1.672215,7756317824.907,7154976271.966,1432434738,1321379138,False
2020-01-17,5.5,45.205321,1.639426,7604233161.674,7014682619.575,1432434738,1321379138,False
2020-01-20,5.5,45.205321,1.639426,7604233161.674,7014682619.575,1432434738,1321379138,False
2020-01-21,5.41,44.465597,1.612599,7479800255.392,6899896903.982,1432434738,1321379138,False
2020-01-22,5.39,44.301214,1.606638,7452148498.44,6874388967.183,1432434738,1321379138,False
2020-01-23,5.18,42.575193,1.544041,7161805050.449,6606555630.799,1432434738,1321379138,False
2020-02-03,4.66,38.301235,1.389041,6442859369.709,5943349274.04,1432434738,1321379138,False
2020-02-04,4.48,36.821789,1.335387,6193993557.145,5713777842.854,1432434738,1321379138,False
2020-02-05,4.58,37.643704,1.365195,6332252341.903,5841317526.846,1432434738,1321379138,False
2020-02-06,4.7,38.630001,1.400964,6498162883.612,5994365147.637,1432434738,1321379138,False
2020-02-07,4.66,38.301235,1.389041,6442859369.709,5943349274.04,1432434738,1321379138,False
2020-02-10,4.89,40.19164,1.457599,6760854574.652,6236690547.222,1432434738,1321379138,False
2020-02-11,4.82,39.616299,1.436733,6664073425.321,6147412768.427,1432434738,1321379138,False
2020-02-12,5.06,41.588895,1.508272,6995894508.74,6453508010.009,1432434738,1321379138,False
2020-02-13,5.57,45.780661,1.660292,7701014311.004,7103960398.369,1432434738,1321379138,False
2020-02-14,5.99,49.232704,1.785484,8281701206.987,7639627071.137,1432434738,1321379138,False
