code,valid_from,valid_to,value,version
000063,2017-01-03,2026-08-28,震荡票,v1
000566,2017-01-03,2026-08-28,趋势票,v1
000657,2017-01-03,2026-08-28,趋势票,v1
000766,2017-01-03,2026-08-28,趋势票,v1
000848,2017-01-03,2026-08-28,震荡票,v1
000858,2017-01-03,2026-08-28,趋势票,v1
000930,2017-01-03,2026-08-28,震荡票,v1
000938,2017-01-03,2026-08-28,趋势票,v1
000977,2017-01-03,2026-08-28,趋势票,v1
002131,2017-01-03,2026-08-28,趋势票,v1
002151,2017-01-12,2026-08-28,震荡票,v1
002156,2017-01-05,2026-08-28,趋势票,v1
002174,2017-01-03,2026-08-28,趋势票,v1
002281,2017-01-03,2026-08-28,趋势票,v1
002300,2017-01-03,2026-08-28,震荡票,v1
002309,2017-01-03,2026-08-28,趋势票,v1
002378,2017-01-03,2026-08-28,趋势票,v1
002396,2017-02-21,2026-08-28,震荡票,v1
002428,2017-01-03,2026-08-28,趋势票,v1
002432,2017-01-03,2026-08-28,趋势票,v1
002436,2017-01-03,2026-08-28,趋势票,v1
002465,2017-01-03,2026-08-28,震荡票,v1
002475,2017-01-03,2026-08-28,趋势票,v1
002498,2017-01-03,2026-08-28,震荡票,v1
002624,2017-01-03,2026-08-28,趋势票,v1
002639,2017-01-03,2026-08-28,震荡票,v1
002735,2017-01-03,2026-08-28,趋势票,v1
002739,2017-01-03,2026-08-28,趋势票,v1
002792,2017-01-03,2026-08-28,趋势票,v1
002842,2017-01-19,2026-08-28,趋势票,v1
002918,2017-12-19,2026-08-28,趋势票,v1
002931,2018-04-03,2026-08-28,趋势票,v1
002991,2020-07-31,2026-08-28,震荡票,v1
300013,2017-01-03,2026-08-28,趋势票,v1
300059,2017-01-03,2026-08-28,趋势票,v1
300285,2017-01-03,2026-08-28,趋势票,v1
300293,2017-01-03,2026-08-28,趋势票,v1
300308,2017-01-03,2026-08-28,趋势票,v1
300394,2017-01-03,2026-08-28,趋势票,v1
300476,2017-01-03,2026-08-28,趋势票,v1
300502,2017-01-03,2026-08-28,趋势票,v1
300570,2017-01-03,2026-08-28,趋势票,v1
300620,2017-03-10,2026-08-28,趋势票,v1
301312,2022-07-11,2026-08-28,趋势票,v1
301379,2022-11-01,2026-08-28,震荡票,v1
301421,2023-08-23,2026-08-28,趋势票,v1
600010,2017-01-03,2026-08-28,震荡票,v1
600050,2017-01-03,2026-08-28,震荡票,v1
600096,2017-01-03,2026-08-28,趋势票,v1
600176,2017-01-03,2026-08-28,趋势票,v1
600339,2017-01-03,2026-08-28,趋势票,v1
600396,2017-01-03,2026-08-28,趋势票,v1
600419,2017-01-03,2026-08-28,趋势票,v1
600487,2017-01-03,2026-08-28,趋势票,v1
600498,2017-01-03,2026-08-28,趋势票,v1
600522,2017-01-03,2026-08-28,趋势票,v1
600594,2017-01-03,2026-08-28,趋势票,v1
600702,2017-01-03,2026-08-28,趋势票,v1
600757,2017-01-03,2026-08-28,震荡票,v1
600800,2017-01-03,2026-08-28,趋势票,v1
600875,2017-03-28,2026-08-28,趋势票,v1
600900,2017-01-03,2026-08-28,震荡票,v1
600941,2022-01-05,2026-08-28,震荡票,v1
600988,2017-01-03,2026-08-28,趋势票,v1
601118,2017-01-03,2026-08-28,震荡票,v1
601188,2017-01-03,2026-08-28,震荡票,v1
601577,2018-09-26,2026-08-28,震荡票,v1
601600,2017-01-03,2026-08-28,趋势票,v1
601611,2017-01-03,2026-08-28,震荡票,v1
601666,2017-01-03,2026-08-28,趋势票,v1
601728,2021-08-20,2026-08-28,震荡票,v1
601766,2017-01-03,2026-08-28,震荡票,v1
601800,2017-01-03,2026-08-28,趋势票,v1
601869,2018-07-20,2026-08-28,趋势票,v1
601899,2017-01-03,2026-08-28,趋势票,v1
603123,2017-01-03,2026-08-28,震荡票,v1
603551,2020-01-15,2026-08-28,震荡票,v1
603589,2017-01-03,2026-08-28,震荡票,v1
603606,2017-01-03,2026-08-28,趋势票,v1
603993,2017-01-03,2026-08-28,趋势票,v1
688205,2022-08-09,2026-08-28,趋势票,v1
688256,2020-07-20,2026-08-28,趋势票,v1
688271,2022-08-22,2026-08-28,震荡票,v1
