code,valid_from,valid_to,value,version,weak
000063,2023-04-22,2023-08-19,4,v1,
000063,2023-08-19,2023-10-24,3,v1,成长
000063,2023-10-24,2024-03-09,3,v1,成长
000063,2024-03-09,2024-04-26,4,v1,
000063,2024-04-26,2024-08-17,4,v1,
000063,2024-08-17,2024-10-22,4,v1,
000063,2024-10-22,2025-03-01,3,v1,成长
000063,2025-03-01,,3,v1,成长
000566,2024-04-30,2024-08-30,0,v1,"估值,现金流,质量,成长"
000566,2024-08-30,2024-10-31,1,v1,"估值,质量,成长"
000566,2024-10-31,2025-04-12,1,v1,"估值,质量,成长"
000566,2025-04-12,,0,v1,"估值,现金流,质量,成长"
000657,2024-04-26,2024-08-23,0,v1,"估值,现金流,质量,成长"
000657,2024-08-23,2024-10-26,2,v1,"质量,成长"
000657,2024-10-26,2025-04-25,1,v1,"估值,质量,成长"
000657,2025-04-25,,4,v1,
000766,2024-04-23,2024-08-21,1,v1,"估值,现金流,成长"
000766,2024-08-21,2024-10-21,2,v1,"估值,成长"
000766,2024-10-21,2025-04-18,3,v1,估值
000766,2025-04-18,,2,v1,"估值,成长"
000848,2024-04-17,2024-08-28,4,v1,
000848,2024-08-28,2024-10-29,2,v1,"现金流,成长"
000848,2024-10-29,2025-04-24,3,v1,成长
000848,2025-04-24,,4,v1,
000858,2024-04-29,2024-08-29,4,v1,
000858,2024-08-29,2024-10-31,4,v1,
000858,2024-10-31,2025-04-26,4,v1,
000858,2025-04-26,,3,v1,成长
000930,2024-04-25,2024-08-24,1,v1,"估值,现金流,质量"
000930,2024-08-24,2024-10-26,2,v1,"估值,质量"
000930,2024-10-26,2025-04-26,1,v1,"估值,质量,成长"
000930,2025-04-26,,1,v1,"估值,质量,成长"
000938,2024-04-30,2024-08-27,1,v1,"现金流,质量,成长"
000938,2024-08-27,2024-10-31,1,v1,"现金流,质量,成长"
000938,2024-10-31,2025-04-29,1,v1,"估值,质量,成长"
000938,2025-04-29,,0,v1,"估值,现金流,质量,成长"
000977,2024-04-30,2024-08-24,1,v1,"估值,现金流,质量"
000977,2024-08-24,2024-10-31,2,v1,"现金流,质量"
000977,2024-10-31,2025-03-29,2,v1,"现金流,质量"
000977,2025-03-29,,1,v1,"估值,质量,成长"
002131,2024-04-29,2024-08-29,1,v1,"现金流,质量,成长"
002131,2024-08-29,2024-10-31,1,v1,"估值,质量,成长"
002131,2024-10-31,2025-04-29,1,v1,"估值,现金流,质量"
002131,2025-04-29,,2,v1,"估值,质量"
002151,2024-04-25,2024-08-22,1,v1,"估值,质量,成长"
002151,2024-08-22,2024-10-25,0,v1,"估值,现金流,质量,成长"
002151,2024-10-25,2025-03-27,1,v1,"估值,质量,成长"
002151,2025-03-27,,0,v1,"估值,现金流,质量,成长"
002156,2024-04-27,2024-08-29,2,v1,"估值,质量"
002156,2024-08-29,2024-10-30,2,v1,"估值,质量"
002156,2024-10-30,2025-04-12,2,v1,"估值,质量"
002156,2025-04-12,,1,v1,"估值,质量,成长"
002174,2024-04-29,2024-08-29,2,v1,"估值,成长"
002174,2024-08-29,2024-10-30,0,v1,"估值,现金流,质量,成长"
002174,2024-10-30,2025-04-26,2,v1,"估值,成长"
002174,2025-04-26,,1,v1,"估值,质量,成长"
002281,2024-04-26,2024-08-24,1,v1,"估值,现金流,成长"
002281,2024-08-24,2024-10-30,2,v1,"估值,成长"
002281,2024-10-30,2025-04-24,2,v1,"估值,现金流"
002281,2025-04-24,,2,v1,"估值,成长"
002300,2024-04-27,2024-08-28,1,v1,"现金流,质量,成长"
002300,2024-08-28,2024-10-30,1,v1,"现金流,质量,成长"
002300,2024-10-30,2025-04-17,1,v1,"估值,质量,成长"
002300,2025-04-17,,0,v1,"估值,现金流,质量,成长"
002309,2024-04-30,2024-08-21,1,v1,"估值,质量,成长"
002309,2024-08-21,2024-10-29,0,v1,"估值,现金流,质量,成长"
002309,2024-10-29,2025-04-22,0,v1,"估值,现金流,质量,成长"
002309,2025-04-22,,1,v1,"估值,质量,成长"
002378,2024-04-30,2024-08-27,0,v1,"估值,现金流,质量,成长"
002378,2024-08-27,2024-10-29,2,v1,"估值,质量"
002378,2024-10-29,2025-04-22,2,v1,"估值,质量"
002378,2025-04-22,,1,v1,"估值,质量,成长"
002396,2024-04-26,2024-08-23,3,v1,成长
002396,2024-08-23,2024-10-25,4,v1,
002396,2024-10-25,2025-04-03,4,v1,
002396,2025-04-03,,4,v1,
