code,pe,pb,gross_margin,net_margin,ocf_ratio,rev_yoy,np_yoy,inc_return,revenue,s_valuation,s_cashflow,s_quality,s_growth,total
688256,-358.9746,53.458999999999996,56.99,27.45,321.12,75.51,672.16,-0.05,989157800.17,0.46987951807228917,0.6626506024096386,0.9332941522186307,0.9578313253012047,0.7559138995004407
601577,4.5806,0.5495,,24.39,3796.79,6.84,-8.91,2.12,6465252000.0,0.8734939759036144,0.9879518072289156,0.6957831325301205,0.43373493975903615,0.7477409638554218
002432,11.6092,1.0382,66.46,53.28,1079.97,2.89,-27.21,1.52,500136825.71,0.8012048192771084,0.8554216867469879,0.9695856597120187,0.3313253012048193,0.7393843667352337
600757,13.4397,1.2527,30.85,13.72,393.06,8.04,45.89,3.58,1853426486.35,0.7710843373493976,0.7349397590361446,0.7452248016456068,0.6325301204819277,0.7209447546282691
000657,34.2799,2.1997,38.41,17.07,156.01,41.6,261.95,-0.17,4514113067.69,0.43975903614457834,0.5180722891566265,0.7938583602703497,0.9036144578313253,0.66382603585072
002931,-310.7817,4.7138,21.39,2.47,831.56,19.62,128.63,0.31,137886381.25,0.5662650602409638,0.8433734939759037,0.44269761974728183,0.7831325301204819,0.6588671760211577
601728,20.2391,1.4733,24.71,2.76,736728.51,3.84,10.64,0.46,131600901177.08,0.6325301204819278,1.0,0.49125771378195715,0.4819277108433735,0.6514288862768145
002396,29.0461,1.704,38.13,5.06,1500.2,0.34,22.07,1.82,4871629586.46,0.5481927710843373,0.9036144578313253,0.6733029679694387,0.47590361445783136,0.6502534528357332
600988,18.6964,3.6498,48.01,26.11,128.28,29.85,131.77,8.81,2802991191.79,0.42771084337349397,0.4578313253012048,0.878563032618278,0.8313253012048193,0.648857625624449
000848,15.3827,2.9651,39.83,21.91,157.79,22.69,27.02,7.24,1128068899.29,0.5180722891566265,0.5301204819277109,0.8362474287393475,0.7048192771084337,0.6473148692330297
601800,7.1739,0.604,14.0,3.98,478.27,11.53,-1.46,2.0,235307843923.0,0.8614457831325302,0.7710843373493976,0.4052306788128122,0.5481927710843373,0.6464883925947693
002131,-69.8735,1.6251,9.75,-2.33,2500.62,11.05,21.59,-0.77,5322496575.35,0.8132530120481928,0.963855421686747,0.19989714957390536,0.6024096385542168,0.6448538054657654
600176,23.9513,1.5713,28.58,22.33,88.78,22.41,145.48,2.14,4223608294.56,0.5783132530120483,0.39759036144578314,0.7751983543931825,0.8253012048192772,0.6441007934175728
600875,15.18,1.2876,11.86,2.42,2397.94,37.85,-13.48,-1.26,21845962282.95,0.7349397590361446,0.9518072289156626,0.2965030855127828,0.5903614457831325,0.6434028798119307
603589,13.9859,2.3175,74.12,20.85,204.34,9.02,-7.55,3.33,1653133586.16,0.5903614457831325,0.5542168674698795,0.9094916250367323,0.47590361445783136,0.6324933881868939
