date,total_asset,cash,market_value,frozen_cash,daily_return,cum_return,max_drawdown
2025-01-03,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-07,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-17,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-20,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-21,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-22,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-23,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-24,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-05,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-06,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-13,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-14,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-17,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-18,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-19,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-20,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-21,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-25,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-26,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-27,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-03-12,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,500000.0,460389.0,39611.0,39611.0,0.0,0.0,0.0
2025-03-14,500517.0,460389.0,40128.0,39611.0,0.0010339999999999794,0.0010339999999999794,0.0
2025-03-17,500132.0,106315.0,393817.0,393685.0,-0.0007692046423997123,0.000264000000000042,-0.0007699999999999374
2025-03-18,501113.0,106315.0,394798.0,393685.0,0.001961482168707507,0.0022260000000000613,0.0
2025-03-19,494464.0,106315.0,388149.0,393685.0,-0.013268464398249469,-0.01107199999999997,-0.013298000000000032
2025-03-20,488578.0,106315.0,382263.0,393685.0,-0.011903798860988912,-0.022843999999999975,-0.025070000000000037
2025-03-21,477024.0,106315.0,370709.0,393685.0,-0.023648219936223125,-0.04595199999999999,-0.048178000000000054
2025-03-24,474734.99999999994,106315.0,368419.99999999994,393685.0,-0.004798500704367159,-0.050530000000000075,-0.052756000000000136
2025-03-25,467541.0,103001.0,364540.0,396999.0,-0.015153717337040518,-0.06491800000000003,-0.06714400000000009
2025-03-26,468751.0,103001.0,365750.0,396999.0,0.0025880083244036456,-0.062498000000000054,-0.06472400000000011
2025-03-27,471391.0,92954.0,378437.0,407046.0,0.005631987985092346,-0.05721799999999999,-0.05944400000000005
2025-03-28,472634.0,92954.0,379680.0,407046.0,0.0026368768177584823,-0.054732,-0.056958000000000064
2025-03-31,467549.0,92954.0,374595.0,407046.0,-0.010758853573801241,-0.06490200000000002,-0.06712800000000008
2025-04-01,470035.0,92954.0,377081.0,407046.0,0.00531708975957601,-0.05993000000000004,-0.0621560000000001
2025-04-02,476589.00000000006,89559.0,387030.00000000006,410441.0,0.01394364249470792,-0.04682199999999992,-0.04904799999999998
2025-04-03,473511.0,89559.0,383952.0,410441.0,-0.006458394969250381,-0.05297799999999997,-0.05520400000000003
