🚀 数据加载：15 只，2022-06-01 ~ 2026-08-27 ...
00:20:08 [INFO] core.data_loader.freestockdb: 🔗 已连接到 free-stockdb 本地服务: 127.0.0.1:7899
00:20:08 [INFO] core.data_loader.freestockdb: 📊 批量加载: 15 只股票，1031 个交易日
00:20:08 [INFO] core.data_loader.freestockdb: ✅ 成功加载 15 只股票，1031 个交易日
00:20:08 [INFO] core.data_loader.freestockdb: 📅 日期范围: 2022-06-01 00:00:00 至 2026-08-27 00:00:00
✅ 数据加载完成：1031 交易日，耗时 0.6s
🎯 模式: 标准 风控=0.3 止损=None
📈 趋势线过滤器已启用: multi（multi 阈值=2）
00:20:15 [INFO] core.backtest.pipeline: 开始回测: 2022-06-02 至 2026-08-27
00:20:15 [INFO] core.backtest.pipeline: 初始资金: 500,000.00 元
00:20:15 [INFO] core.backtest.pattern_mixin: 📚 形态信号索引预加载完成：106602 条 / 52852 个(股票×日期)组合

======================================================================
📊 完整交易汇总（共 2051 笔）
  策略：SimpleStrategy
======================================================================
日期           股票       操作           价格     数量            总资产      总仓位
----------------------------------------------------------------------
2022-08-02   000566   BUY        4.10   3800     500,000.00     3.1%
2022-08-02   600522   BUY       21.53    700     500,000.00     6.1%
2022-08-02   002735   BUY       17.39    700     500,000.00     8.6%
2022-08-02   300502   BUY        8.85   1200     500,000.00    10.7%
2022-08-02   300570   BUY       18.68    500     500,000.00    12.6%
2022-08-02   002918   BUY       11.47   1100     500,000.00    15.1%
2022-08-02   002428   BUY       11.59   1000     500,000.00    17.4%
2022-08-02   600487   BUY       15.16    800     500,000.00    19.8%
2022-08-02   300620   BUY       26.38    400     500,000.00    21.9%
2022-08-03   300620   BUY       29.99    500     501,556.00    25.2%
2022-08-03   002156   BUY       16.48    600     501,556.00    27.1%
2022-08-03   000566   BUY        4.06   3200     501,556.00    29.7%
2022-08-03   002309   BUY        4.33   2600     501,556.00    32.0%
2022-08-03   002428   BUY       11.79   1100     501,556.00    34.6%
2022-08-03   002735   BUY       17.83    500     501,556.00    36.3%
2022-08-03   002281   BUY       18.09    700     501,556.00    38.9%
2022-08-03   002792   BUY        9.08   1400     501,556.00    41.4%
2022-08-03   002918   BUY       11.14   1100     501,556.00    43.8%
2022-08-03   300502   BUY        9.11   1100     501,556.00    45.8%
