Date,Stock,Action,Price,Shares,名称,金额
2017-03-10,000766,BUY,18.1,3200,通化金马,57920.0
2017-03-10,601188,BUY,4.55,19800,龙江交通,90090.0
2017-03-10,601766,BUY,7.66,9600,中国中车,73536.0
2017-03-10,600522,BUY,10.02,5900,中天科技,59118.0
2017-03-10,000848,BUY,7.08,4400,承德露露,31152.0
2017-03-10,600900,BUY,8.95,3100,长江电力,27745.0
2017-03-10,000858,BUY,31.48,2100,五粮液,66108.0
2017-03-10,002281,BUY,25.15,2700,光迅科技,67905.0
2017-03-13,002281,SELL,25.12,2700,光迅科技,67824.0
2017-03-13,300059,BUY,4.35,6000,东方财富,26100.0
2017-03-13,600988,BUY,7.41,3500,赤峰黄金,25935.0
2017-03-13,601600,BUY,4.51,5800,中国铝业,26158.0
2017-03-14,600900,BUY,9.08,1700,长江电力,15436.0
2017-03-15,000858,SELL,32.16,2100,五粮液,67536.0
2017-03-15,603993,BUY,4.23,100,洛阳钼业,423.0
2017-03-15,600396,BUY,5.12,100,华电辽能,512.0
2017-03-16,000848,BUY,7.13,9400,承德露露,67022.0
2017-03-17,600900,SELL,9.13,4800,长江电力,43824.0
2017-03-20,600522,SELL,10.32,5900,中天科技,60888.0
2017-03-20,601800,BUY,14.06,3100,中国交建,43586.0
2017-03-20,000063,BUY,15.7,2800,中兴通讯,43960.0
2017-03-21,000766,BUY,18.11,900,通化金马,16299.0
2017-03-22,601188,SELL,4.86,19800,龙江交通,96228.0
2017-03-22,002498,BUY,3.77,200,汉缆股份,754.0
2017-03-22,600757,BUY,5.74,100,长江传媒,574.0
2017-03-22,603123,BUY,9.62,100,翠微股份,962.0
2017-03-22,600096,BUY,7.31,100,云天化,731.0
2017-03-22,000848,BUY,7.15,100,承德露露,715.0
2017-03-22,000657,BUY,7.81,100,中钨高新,781.0
2017-03-22,300059,BUY,4.2,200,东方财富,840.0
2017-03-22,002436,BUY,6.64,100,兴森科技,664.0
2017-03-22,601899,BUY,2.81,300,紫金矿业,843.0
2017-03-23,002432,BUY,13.16,6800,九安医疗,89488.0
2017-03-24,000766,SELL,18.33,4100,通化金马,75153.0
2017-03-24,600396,SELL,5.13,100,华电辽能,513.0
2017-03-24,601800,SELL,14.74,3100,中国交建,45694.0
2017-03-24,600988,BUY,7.32,100,赤峰黄金,732.0
2017-03-24,601600,BUY,4.43,200,中国铝业,886.0
2017-03-24,600010,BUY,2.16,400,包钢股份,864.0
2017-03-24,000657,BUY,7.53,100,中钨高新,753.0
2017-03-27,002436,BUY,6.65,17900,兴森科技,119035.0
2017-03-28,601766,SELL,7.98,9600,中国中车,76608.0
2017-03-28,000848,SELL,7.08,13900,承德露露,98412.0
2017-03-28,000063,SELL,15.97,2800,中兴通讯,44716.0
2017-03-29,600498,BUY,23.04,9500,烽火通信,218880.0
2017-03-30,600757,BUY,5.59,100,长江传媒,559.0
2017-04-06,600010,BUY,2.17,100,包钢股份,217.0
2017-04-07,603993,SELL,4.36,100,洛阳钼业,436.0
2017-04-11,601188,BUY,4.51,100,龙江交通,451.0
2017-04-12,601600,SELL,4.62,6000,中国铝业,27720.0
2017-04-12,600757,SELL,5.76,200,长江传媒,1152.0
2017-04-12,600010,SELL,2.23,500,包钢股份,1115.0
2017-04-13,600988,SELL,7.56,3600,赤峰黄金,27216.0
2017-04-13,002498,SELL,3.85,200,汉缆股份,770.0
2017-04-13,601899,SELL,2.91,300,紫金矿业,873.0
2017-04-13,600050,BUY,4.29,600,中国联通,2574.0
2017-04-13,000858,BUY,33.14,900,五粮液,29826.0
2017-04-14,002131,BUY,3.59,7300,利欧股份,26207.0
2017-04-19,601666,BUY,3.36,100,平煤股份,336.0
2017-04-20,000858,SELL,35.34,900,五粮液,31806.0
2017-04-20,600050,BUY,4.29,600,中国联通,2574.0
2017-04-21,601666,BUY,3.4,8500,平煤股份,28900.0
2017-04-25,601899,BUY,2.73,100,紫金矿业,273.0
2017-05-11,000657,SELL,6.37,200,中钨高新,1274.0
2017-05-12,002735,BUY,10.94,100,王子新材,1094.0
2017-05-17,600010,BUY,2.06,100,包钢股份,206.0
2017-05-19,300059,SELL,3.65,6200,东方财富,22630.0
2017-05-19,002735,SELL,10.68,100,王子新材,1068.0
2017-05-19,600050,BUY,4.29,1200,中国联通,5148.0
2017-05-22,002131,SELL,3.37,7300,利欧股份,24601.0
2017-05-22,000977,BUY,17.91,1000,浪潮信息,17910.0
2017-05-22,002639,BUY,9.07,2000,雪人集团,18140.0
2017-05-23,002436,SELL,6.06,18000,兴森科技,109080.0
2017-05-23,600498,SELL,19.79,9500,烽火通信,188005.0
2017-05-23,601800,BUY,11.75,600,中国交建,7050.0
2017-05-23,600050,BUY,4.29,2400,中国联通,10296.0
2017-05-23,000766,BUY,14.71,400,通化金马,5884.0
2017-05-23,600010,BUY,2.08,3400,包钢股份,7072.0
2017-05-23,000657,BUY,6.25,1100,中钨高新,6875.0
2017-05-23,601611,BUY,10.62,600,中国核建,6372.0
2017-05-23,000848,BUY,6.18,1100,承德露露,6798.0
2017-05-23,000566,BUY,13.09,500,海南海药,6545.0
2017-05-23,000858,BUY,38.15,100,五粮液,3815.0
2017-05-23,002156,BUY,9.75,700,通富微电,6825.0
2017-05-24,000657,SELL,6.32,1100,中钨高新,6952.0
2017-05-24,000566,SELL,13.1,500,海南海药,6550.0
2017-05-24,601611,BUY,10.27,9700,中国核建,99619.0
2017-05-24,600050,BUY,4.29,4800,中国联通,20592.0
2017-05-24,000766,BUY,15.33,3900,通化金马,59787.0
2017-05-24,000848,BUY,6.21,7700,承德露露,47817.0
2017-05-25,000766,BUY,15.5,1400,通化金马,21700.0
2017-05-26,000858,SELL,37.59,100,五粮液,3759.0
2017-05-26,000848,BUY,6.35,100,承德露露,635.0
2017-05-26,601188,BUY,3.66,100,龙江交通,366.0
2017-05-26,002498,BUY,3.29,200,汉缆股份,658.0
2017-05-31,300285,BUY,11.64,200,国瓷材料,2328.0
2017-06-01,603993,BUY,3.5,100,洛阳钼业,350.0
2017-06-02,601899,SELL,2.65,100,紫金矿业,265.0
2017-06-02,600010,SELL,2.11,3500,包钢股份,7385.0
2017-06-05,000977,SELL,17.47,1000,浪潮信息,17470.0
2017-06-05,000766,SELL,17.02,5700,通化金马,97014.0
2017-06-05,002735,BUY,10.49,700,王子新材,7343.0
2017-06-05,300502,BUY,4.59,1600,新易盛,7344.0
2017-06-05,603606,BUY,4.87,1500,东方电缆,7305.0
2017-06-05,002151,BUY,29.22,100,北斗星通,2922.0
2017-06-05,000848,BUY,6.37,1200,承德露露,7644.0
2017-06-05,603123,BUY,8.05,900,翠微股份,7245.0
2017-06-05,600757,BUY,4.82,1600,长江传媒,7712.0
2017-06-05,600875,BUY,8.09,900,东方电气,7281.0
2017-06-05,002309,BUY,12.19,600,中利集团,7314.0
2017-06-05,300620,BUY,14.51,500,光库科技,7255.0
2017-06-06,601666,SELL,3.22,8600,平煤股份,27692.0
2017-06-06,603993,BUY,3.52,15000,洛阳钼业,52800.0
2017-06-06,002151,BUY,29.22,100,北斗星通,2922.0
2017-06-07,000657,BUY,6.23,3900,中钨高新,24297.0
2017-06-08,300394,BUY,4.65,100,天孚通信,465.0
2017-06-09,002309,SELL,12.3,600,中利集团,7380.0
2017-06-09,002151,BUY,29.22,200,北斗星通,5844.0
2017-06-12,603123,SELL,8.21,1000,翠微股份,8210.0
2017-06-12,600096,SELL,5.78,100,云天化,578.0
2017-06-12,000848,SELL,6.42,10100,承德露露,64842.0
2017-06-12,002735,SELL,10.27,700,王子新材,7189.0
2017-06-12,600875,SELL,8.06,900,东方电气,7254.0
2017-06-12,002151,BUY,29.22,400,北斗星通,11688.0
2017-06-12,600050,BUY,4.29,9600,中国联通,41184.0
2017-06-12,000657,BUY,6.41,200,中钨高新,1282.0
2017-06-12,000566,BUY,12.74,100,海南海药,1274.0
2017-06-12,603993,BUY,3.63,400,洛阳钼业,1452.0
2017-06-12,002156,BUY,8.9,100,通富微电,890.0
2017-06-13,601800,SELL,12.35,600,中国交建,7410.0
2017-06-13,000657,SELL,6.51,4100,中钨高新,26691.0
2017-06-13,002151,BUY,29.22,800,北斗星通,23376.0
2017-06-13,002432,BUY,10.54,3000,九安医疗,31620.0
2017-06-14,002281,BUY,20.04,500,光迅科技,10020.0
2017-06-15,002432,SELL,11.11,9800,九安医疗,108878.0
2017-06-15,603993,SELL,3.98,15500,洛阳钼业,61690.0
2017-06-15,600757,SELL,4.99,1600,长江传媒,7984.0
2017-06-15,300394,SELL,4.84,100,天孚通信,484.0
2017-06-15,600050,BUY,4.29,19200,中国联通,82368.0
2017-06-15,603606,BUY,5.12,100,东方电缆,512.0
2017-06-15,002156,BUY,9.3,100,通富微电,930.0
2017-06-16,000566,BUY,12.91,7400,海南海药,95534.0
2017-06-19,300285,SELL,12.29,200,国瓷材料,2458.0
2017-06-19,002151,SELL,28.78,1600,北斗星通,46048.0
2017-06-19,300620,SELL,15.7,500,光库科技,7850.0
2017-06-19,000848,BUY,6.5,100,承德露露,650.0
2017-06-19,603993,BUY,4.26,100,洛阳钼业,426.0
2017-06-19,000657,BUY,6.55,100,中钨高新,655.0
2017-06-20,603993,SELL,4.28,100,洛阳钼业,428.0
2017-06-20,300293,BUY,14.65,3700,蓝英装备,54205.0
2017-06-21,601188,SELL,3.85,200,龙江交通,770.0
2017-06-21,002498,SELL,3.32,200,汉缆股份,664.0
2017-06-21,603606,SELL,5.11,1600,东方电缆,8176.0
2017-06-21,002281,SELL,20.93,500,光迅科技,10465.0
2017-06-21,000848,SELL,6.54,100,承德露露,654.0
2017-06-21,000657,SELL,6.6,100,中钨高新,660.0
2017-06-21,000566,BUY,13.01,100,海南海药,1301.0
2017-06-21,600900,BUY,10.21,100,长江电力,1021.0
2017-06-21,002156,BUY,9.52,100,通富微电,952.0
2017-06-22,002639,SELL,8.67,2000,雪人集团,17340.0
2017-06-22,002156,SELL,9.3,1000,通富微电,9300.0
2017-06-22,600339,BUY,6.16,3100,中油工程,19096.0
2017-06-22,002475,BUY,8.51,2300,立讯精密,19573.0
2017-06-23,601611,SELL,11.07,10300,中国核建,114021.0
2017-06-23,000930,BUY,9.37,800,中粮科技,7496.0
2017-06-23,000938,BUY,19.87,300,紫光股份,5961.0
2017-06-23,000858,BUY,43.48,100,五粮液,4348.0
2017-06-23,000566,BUY,12.9,500,海南海药,6450.0
2017-06-23,603993,BUY,4.16,1800,洛阳钼业,7488.0
2017-06-23,603606,BUY,5.08,1500,东方电缆,7620.0
2017-06-23,603589,BUY,28.09,200,口子窖,5618.0
2017-06-23,601666,BUY,3.26,2300,平煤股份,7498.0
2017-06-23,002151,BUY,27.31,200,北斗星通,5462.0
2017-06-26,000938,SELL,21.0,300,紫光股份,6300.0
2017-06-26,603606,SELL,5.22,1500,东方电缆,7830.0
2017-06-26,300502,BUY,4.47,14200,新易盛,63474.0
2017-06-27,600900,SELL,10.42,100,长江电力,1042.0
2017-06-27,002475,SELL,8.67,2300,立讯精密,19941.0
2017-06-27,000766,BUY,17.05,800,通化金马,13640.0
2017-06-27,002436,BUY,6.02,2300,兴森科技,13846.0
2017-06-28,000930,SELL,9.45,800,中粮科技,7560.0
2017-06-28,603589,SELL,29.32,200,口子窖,5864.0
2017-06-28,002151,BUY,27.34,200,北斗星通,5468.0
2017-06-28,601766,BUY,7.66,1000,中国中车,7660.0
2017-06-28,002131,BUY,3.15,2400,利欧股份,7560.0
2017-06-29,000858,SELL,43.81,100,五粮液,4381.0
2017-06-29,603993,SELL,4.28,1800,洛阳钼业,7704.0
2017-06-30,000766,BUY,15.98,700,通化金马,11186.0
2017-07-03,300293,BUY,14.17,100,蓝英装备,1417.0
2017-07-04,601766,SELL,7.67,1000,中国中车,7670.0
2017-07-05,601666,SELL,3.54,2300,平煤股份,8142.0
2017-07-05,600800,BUY,8.16,900,渤海化学,7344.0
2017-07-05,000566,BUY,12.95,500,海南海药,6475.0
2017-07-05,002739,BUY,8.38,100,万达电影,838.0
2017-07-06,002432,BUY,10.37,100,九安医疗,1037.0
2017-07-10,000566,SELL,13.09,8600,海南海药,112574.0
2017-07-10,002436,SELL,6.08,2300,兴森科技,13984.0
2017-07-10,002739,BUY,8.38,100,万达电影,838.0
2017-07-11,002151,SELL,27.56,400,北斗星通,11024.0
2017-07-11,002739,BUY,8.38,200,万达电影,1676.0
2017-07-11,000858,BUY,42.44,1400,五粮液,59416.0
2017-07-11,000566,BUY,13.17,2800,海南海药,36876.0
2017-07-11,000938,BUY,20.33,1300,紫光股份,26429.0
2017-07-12,600800,SELL,8.07,900,渤海化学,7263.0
2017-07-12,600594,BUY,12.75,900,益佰制药,11475.0
2017-07-12,002739,BUY,8.38,400,万达电影,3352.0
2017-07-13,000938,SELL,20.61,1300,紫光股份,26793.0
2017-07-13,002131,BUY,3.15,1500,利欧股份,4725.0
2017-07-13,002739,BUY,8.38,800,万达电影,6704.0
2017-07-13,002624,BUY,17.09,200,完美世界,3418.0
2017-07-13,000566,BUY,13.41,300,海南海药,4023.0
2017-07-13,603993,BUY,5.14,900,洛阳钼业,4626.0
2017-07-13,000848,BUY,6.33,700,承德露露,4431.0
2017-07-14,002281,BUY,19.57,100,光迅科技,1957.0
2017-07-17,000566,SELL,13.07,3100,海南海药,40517.0
2017-07-17,002739,BUY,8.38,1600,万达电影,13408.0
2017-07-17,600522,BUY,9.88,100,中天科技,988.0
2017-07-17,603606,BUY,4.75,300,东方电缆,1425.0
2017-07-17,000766,BUY,13.35,100,通化金马,1335.0
2017-07-17,000848,BUY,6.11,300,承德露露,1833.0
2017-07-17,000657,BUY,7.15,200,中钨高新,1430.0
2017-07-17,002156,BUY,9.09,200,通富微电,1818.0
2017-07-18,603993,SELL,5.69,900,洛阳钼业,5121.0
2017-07-18,600419,BUY,16.98,1100,天润乳业,18678.0
2017-07-19,601188,BUY,3.66,1800,龙江交通,6588.0
2017-07-21,600339,SELL,6.16,3100,中油工程,19096.0
2017-07-24,000657,SELL,7.72,200,中钨高新,1544.0
2017-07-24,600487,BUY,18.21,1000,亨通光电,18210.0
2017-07-25,000063,BUY,21.08,100,中兴通讯,2108.0
2017-07-26,000858,SELL,42.69,1400,五粮液,59766.0
2017-07-26,000063,SELL,20.9,100,中兴通讯,2090.0
2017-07-26,002739,BUY,8.38,3200,万达电影,26816.0
2017-07-26,000766,BUY,16.38,1600,通化金马,26208.0
2017-07-27,002151,BUY,26.71,300,北斗星通,8013.0
2017-07-28,002156,BUY,9.22,100,通富微电,922.0
2017-07-31,002624,SELL,17.92,200,完美世界,3584.0
2017-08-01,300013,BUY,10.63,300,新宁物流,3189.0
2017-08-02,600419,SELL,19.07,1100,天润乳业,20977.0
2017-08-02,300013,SELL,10.72,300,新宁物流,3216.0
2017-08-02,002436,BUY,5.72,100,兴森科技,572.0
2017-08-02,600396,BUY,3.89,100,华电辽能,389.0
2017-08-03,601188,SELL,3.84,1800,龙江交通,6912.0
2017-08-03,300476,BUY,12.65,1800,胜宏科技,22770.0
2017-08-04,000848,SELL,6.17,1000,承德露露,6170.0
2017-08-04,600522,SELL,10.09,100,中天科技,1009.0
2017-08-04,600487,SELL,17.7,1000,亨通光电,17700.0
2017-08-04,002735,BUY,10.68,700,王子新材,7476.0
2017-08-04,002792,BUY,15.66,500,通宇通讯,7830.0
2017-08-04,300476,BUY,12.08,600,胜宏科技,7248.0
2017-08-04,603123,BUY,7.94,1000,翠微股份,7940.0
2017-08-07,600396,SELL,3.96,100,华电辽能,396.0
2017-08-07,601611,BUY,10.57,200,中国核建,2114.0
2017-08-08,002436,BUY,5.66,100,兴森科技,566.0
2017-08-09,002281,SELL,19.15,100,光迅科技,1915.0
2017-08-09,002792,SELL,15.58,500,通宇通讯,7790.0
2017-08-10,000566,BUY,12.91,700,海南海药,9037.0
2017-08-11,300502,SELL,3.66,15800,新易盛,57828.0
2017-08-11,002432,SELL,8.92,100,九安医疗,892.0
2017-08-11,600594,SELL,11.91,900,益佰制药,10719.0
2017-08-11,603606,SELL,4.97,300,东方电缆,1491.0
2017-08-11,002151,SELL,26.53,300,北斗星通,7959.0
2017-08-11,603123,SELL,7.78,1000,翠微股份,7780.0
2017-08-11,601611,SELL,9.97,200,中国核建,1994.0
2017-08-11,600176,BUY,6.17,100,中国巨石,617.0
