代码,名称,交易笔数,策略盈亏_元,10年买入持有,2026交易笔数,2026策略盈亏_元,2026买入持有
002739,万达电影,52,326394.0,-0.7667,5,-2295.0,-0.2656
000657,中钨高新,276,318908.0,7.7828,11,255934.0,1.3765
688205,德科立,21,202719.0,3.1896,2,4880.0,0.1611
002309,中利集团,137,172009.0,-0.7817,14,2134.0,-0.0813
002931,锋龙股份,48,163257.0,5.1562,3,135115.0,0.3464
300620,光库科技,26,148763.0,41.7415,3,-57.0,0.9855
600096,云天化,48,131971.0,2.9477,4,13860.0,-0.0518
600988,赤峰黄金,75,124461.0,5.3531,2,-1166.0,0.5192
002378,章源钨业,82,120842.0,2.6086,3,67296.0,0.8006
300285,国瓷材料,35,117901.0,4.574,2,71440.0,1.4217
600050,中国联通,92,92166.0,-0.3069,11,450.0,-0.1572
002735,王子新材,45,74917.0,-0.1868,0,0.0,-0.4095
601800,中国交建,66,72536.0,-0.5013,6,878.0,-0.2618
600396,华电辽能,71,69065.0,1.8234,3,29609.0,4.09
603123,翠微股份,56,65033.0,-0.001,2,-2392.0,-0.345
000977,浪潮信息,155,64532.0,2.7885,10,10923.0,0.1541
002918,蒙娜丽莎,44,64249.0,-0.3333,2,589.0,-0.2807
300293,蓝英装备,54,61278.0,-0.0363,5,2037.0,-0.247
688256,寒武纪,18,58851.0,6.357,2,58245.0,0.1241
601188,龙江交通,68,57271.0,-0.321,1,2496.0,-0.1527
000063,中兴通讯,237,56429.0,1.2993,11,-658.0,-0.1016
000848,承德露露,278,55717.0,0.1855,12,-6628.0,0.0546
600594,益佰制药,54,54533.0,-0.7171,8,23796.0,0.0025
002639,雪人集团,47,50468.0,-0.0349,0,0.0,-0.3923
002428,云南锗业,66,50339.0,6.9002,12,8954.0,2.276
002281,光迅科技,69,45644.0,6.2139,5,2585.0,1.4902
002156,通富微电,106,45247.0,4.5855,8,35598.0,0.6134
300308,中际旭创,32,43282.0,71.4181,3,7565.0,0.3906
002498,汉缆股份,72,41639.0,0.6361,0,0.0,0.6921
000858,五粮液,174,35277.0,1.6508,10,-38967.0,-0.3178
600487,亨通光电,36,33407.0,4.6903,0,0.0,1.8808
300476,胜宏科技,31,25243.0,21.8144,3,2421.0,-0.1463
601728,中国电信,50,23548.0,0.2751,7,-1690.0,0.016
601577,长沙银行,58,22983.0,0.1399,9,20359.0,-0.0032
601666,平煤股份,88,21473.0,2.0586,4,16389.0,0.2544
600941,中国移动,30,19856.0,1.0971,2,-6708.0,-0.0036
600522,中天科技,50,18153.0,2.7623,2,5625.0,0.9835
601118,海南橡胶,45,15542.0,-0.0859,2,-68.0,0.1569
600339,中油工程,73,15313.0,-0.4978,5,352.0,0.015
600498,烽火通信,23,14473.0,0.8299,0,0.0,0.2127
601600,中国铝业,53,14000.0,1.468,2,519.0,-0.2473
600757,长江传媒,61,13862.0,0.26,10,8471.0,-0.1417
000566,海南海药,304,13109.0,-0.5931,19,-39731.0,-0.3034
300502,新易盛,40,13056.0,58.2041,4,-15682.0,0.3444
