日期/时间,代码,名称,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,换手率,涨幅%,振幅%,是否ST,量比,总股本,流通股本,总市值,流通市值,市盈率,市净率
20260807,000063,中兴通讯,34.78,35.38,34.49,34.7,34.7,158640500,5516770000,3.94,0,2.56,false,1.21,4783534887,4027621232,165989000000,139758000000,37.09,2.22
20260806,000063,中兴通讯,34.2,34.98,33.95,34.7,34.74,150150800,5160710000,3.73,-0.12,2.96,false,1.19,4783534887,4027621232,165989000000,139758000000,37.09,2.22
20260805,000063,中兴通讯,34,34.97,33.96,34.74,34.37,166013200,5759750000,4.12,1.08,2.94,false,1.43,4783534887,4027621232,166180000000,139920000000,37.14,2.22
20260804,000063,中兴通讯,34.24,34.54,34.1,34.37,34.02,120741700,4144220000,3,1.03,1.29,false,1,4783534887,4027621232,164410000000,138429000000,36.74,2.2
20260803,000063,中兴通讯,33.5,34.27,33.38,34.02,33.81,79148100,2686590000,1.97,0.62,2.63,false,0.59,4783534887,4027621232,162736000000,137020000000,36.37,2.18
20260731,000063,中兴通讯,34.48,34.61,33.8,33.81,33.3,139157100,4754840000,3.46,1.53,2.43,false,0.98,4783534887,4027621232,161731000000,136174000000,36.14,2.16
20260730,000063,中兴通讯,33.74,34.12,33.06,33.3,34.08,128022200,4295360000,3.18,-2.29,3.11,false,0.74,4783534887,4027621232,159292000000,134120000000,35.6,2.13
20260729,000063,中兴通讯,33.79,34.22,33.38,34.08,33.63,111623500,3773110000,2.77,1.37,2.5,false,0.45,4783534887,4027621232,163023000000,137261000000,36.43,2.18
20260728,000063,中兴通讯,34.08,34.47,33.55,33.63,34.83,147240000,5050550000,3.66,-3.46,2.64,false,0.56,4783534887,4027621232,162784000000,137060000000,36.38,2.12
20260727,000063,中兴通讯,34.31,34.83,33.75,34.83,34.59,141024800,4903200000,3.5,0.71,3.14,false,0.47,4783534887,4027621232,168620000000,141974000000,37.68,2.2
20260724,000063,中兴通讯,34.6,35.4,34.39,34.59,35.49,179142000,6307640000,4.45,-2.56,2.84,false,0.54,4783534887,4027621232,167424000000,140967000000,37.41,2.18
20260723,000063,中兴通讯,36.57,37.11,35.39,35.49,37.06,283559700,10344890000,7.04,-4.21,4.64,false,0.82,4783534887,4027621232,171825000000,144672000000,38.4,2.24
20260722,000063,中兴通讯,33.84,37.92,33.71,37.06,34.47,482599800,17989050000,11.98,7.51,12.21,false,1.59,4783534887,4027621232,179383000000,151036000000,40.09,2.34
20260721,000063,中兴通讯,33.45,34.53,32.01,34.47,33.33,235192000,7976110000,5.84,3.41,7.56,false,0.74,4783534887,4027621232,166850000000,140483000000,37.28,2.18
